City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,san luis,-33.295,-66.3356,54.0,75,10,2.89,AR,1745306402
281,tralee,52.2704,-9.7026,46.74,94,100,6.76,IE,1745306510
282,vilyuysk,63.7553,121.6247,32.86,78,100,8.1,RU,1745306511
283,haiku-pauwela,20.9219,-156.3051,75.04,78,75,13.0,US,1745306261
284,muisne,0.6,-80.0333,77.27,85,73,6.2,EC,1745306513
285,north bend,43.4065,-124.2243,44.17,80,9,11.61,US,1745306505
286,usinsk,65.9939,57.5281,27.23,75,100,22.35,RU,1745306516
287,lakatoro,-16.0999,167.4164,80.35,87,100,11.65,VU,1745306517
288,cabo san lucas,22.8909,-109.9124,65.84,59,100,14.12,MX,1745306518
289,al wajh,26.2455,36.4525,94.95,13,0,5.75,SA,1745306519
290,huarmey,-10.0681,-78.1522,68.79,82,100,7.11,PE,1745306520
291,viedma,-40.8135,-62.9967,53.8,88,57,3.42,AR,1745306521
292,kismayo,-0.3582,42.5454,85.46,69,85,12.1,SO,1745306522
293,bu'aale,1.0833,42.5833,88.18,59,15,8.59,SO,1745306524
294,idri,27.5,13.2667,71.38,21,74,13.94,LY,1745306525
295,karratha,-20.7377,116.8463,91.72,39,0,15.5,AU,1745306526
296,brazzaville,-4.2658,15.2832,80.91,82,67,1.57,CG,1745306232
297,santana,-0.0583,-51.1817,77.18,100,0,1.14,BR,1745306466
298,quellon,-43.1167,-73.6167,52.52,98,100,10.49,CL,1745306472
299,holualoa,19.6228,-155.9522,68.83,95,100,3.83,US,1745306531
300,christchurch,-43.5333,172.6333,48.9,90,0,1.14,NZ,1745306532
301,saveh,35.0213,50.3566,76.19,15,100,7.56,IR,1745306533
302,port alfred,-33.5906,26.891,60.19,98,100,1.99,ZA,1745306534
303,kudahuvadhoo,2.6708,72.8944,84.04,73,7,6.93,MV,1745306535
304,morris,40.8334,-74.5329,52.68,80,100,0.0,US,1745306522
305,kerikeri,-35.2268,173.9474,60.91,85,3,6.11,NZ,1745306538
306,jaguarari,-10.2639,-40.1958,64.81,98,20,6.46,BR,1745306539
307,kirensk,57.7853,108.1119,39.09,67,100,2.19,RU,1745306540
308,happy valley-goose bay,53.3168,-60.3315,34.11,93,100,3.44,CA,1745306541
309,carutapera,-1.195,-46.02,75.04,97,100,3.94,BR,1745306542
310,yalutorovsk,56.6536,66.3006,66.63,55,8,13.69,RU,1745306544
311,qaqortoq,60.7167,-46.0333,31.24,77,100,6.29,GL,1745306545
312,carnarvon,-24.8667,113.6333,82.38,64,4,15.5,AU,1745306546
313,yulinshi,38.2906,109.7494,67.15,9,100,10.54,CN,1745306547
